Unnamed: 0,user_id,username,id,date,Tweet,lang,replyCount,followersCount,preprocessed_text
2440,1436304261852241928,padmalatharamd1,1562827981412007943,2022-08-25 15:43:21+00:00,"And The Hindus are in Majority.
#HindusUnderAttackInIndia despite being in the majority.
Welcome To Islamic Republic of India.
#HindusUnderAttack #SarTanSeJuda   
🖕 #ProphetMuhammad

 #HindusUnderAttackInIndia https://t.co/r8sVoRnENk",en,0,114,and the hindu are in majority despite being in the majority welcome to islamic republic of india URL 
2443,1441795280001638400,jaishriRam_031,1562827227162890242,2022-08-25 15:40:21+00:00,"If you really want to stop #SarTanSeJuda terror slogans in India, please stop watching #Bollywood movies.
By watching these movies, plz don't fund those who hate Hinduism.
To save Sanatan Sanskriti, just #BoycottBollywood 🙏
#HindusUnderAttack #BoycottLiger #BoycottVikramVedha https://t.co/1uNYs9tgmo",en,0,77,if you really want to stop terror slogan in india please stop watching movie by watching these movie plz don fund those who hate hinduism to save sanatan sanskriti just URL 
2444,1507349126677090309,ASatanalkar2,1562826563275862016,2022-08-25 15:37:43+00:00,"If you really want to stop #SarTanSeJuda terror slogans in India, please stop watching #Bollywood movies.
By watching these movies, plz don't fund those who hate Hinduism.
To save  #BoycottBollywood 🙏
#HindusUnderAttack #BoycottLiger #BoycottVikramVedha #HindusUnderAttack https://t.co/sVQ8EfklpU",en,3,53,if you really want to stop terror slogan in india please stop watching movie by watching these movie plz don fund those who hate hinduism to save URL 
2449,856559934967869441,AjitBhaskar8,1562826206025633793,2022-08-25 15:36:18+00:00,"In #India
TODAY:
Its not #Democracy
But-
#Mobocracy 
N
#SarTanSeJuda
That ""RULES""!",en,0,539,in today it not but that rule 
2450,1339406356160208897,DhuliPadma,1562826075146944513,2022-08-25 15:35:46+00:00,"When derogatory jokes are made against Hindu Gods, targeting them, no offense is registered.

Why protection is being given to those who disrespect our Deity ? - T Raja Singh BJP MLA

#SarTanSeJuda #MunawarFaruqi 
#HindusUnderAttack #Hyderabadpolice https://t.co/lylXULmEwa https://t.co/0OIHoPxV27",en,0,99,when derogatory joke are made against hindu god targeting them no offense is registered why protection is being given to those who disrespect our deity raja singh bjp mla URL URL 
2451,235084861,Sanatan_Prabhat,1562825606202802184,2022-08-25 15:33:55+00:00,"When derogatory jokes are made against Hindu Gods, targeting them, no offense is registered.

Why protection is being given to those who disrespect our Deity ? - T Raja Singh BJP MLA

#SarTanSeJuda #MunawarFaruqi 
#HindusUnderAttack #Hyderabadpolice https://t.co/Zt55daDYPM",en,15,4724,when derogatory joke are made against hindu god targeting them no offense is registered why protection is being given to those who disrespect our deity raja singh bjp mla URL 
2452,746971014,ChaudharyParvez,1562825488136949761,2022-08-25 15:33:26+00:00,"Syed Abduhu Kashaf, who raised the slogan of 'Sir Tan Se Juda', got bail within an hour of his arrest.

#Hyderabad #ProphetRow #SarTanSeJuda #ProphetMuhammed #TRajaSingh #SyedKashaf https://t.co/od106IHobJ",en,0,5159,syed abduhu kashaf who raised the slogan of sir tan se juda got bail within an hour of his arrest URL 
2453,68493508,IntolrntInfidel,1562825375822262278,2022-08-25 15:33:00+00:00,"@RamNSimha The IslamoFascist Terrorists pose the biggest threat to the Human Civilization because if they get a chance then they can even go for a Nuclear War over their Religion to create a Caliphate and they call for #SarTanSeJuda and behead people all over the World like in France, India",en,0,821,the islamofascist terrorist pose the biggest threat to the human civilization because if they get chance then they can even go for nuclear war over their religion to create caliphate and they call for and behead people all over the world like in france india 
2455,1271385338682863617,Shristi16227,1562825202873946112,2022-08-25 15:32:18+00:00,"Secularism for librats if v bear all this nonsense silently that's #hinduism &amp; #Secularism but if v react( which v were not doing since freedom) that's #Hindutva &amp; #islamophobia &amp; v deserve #SarTanSeJuda

#HindusUnderAttack #HinduLivesMatters #Sharia #NupurSharma #RajaSingh https://t.co/uQP6xqPO8x",en,0,118,secularism for librats if bear all this nonsense silently that amp but if react which were not doing since freedom that amp amp deserve URL 
2456,856559934967869441,AjitBhaskar8,1562824678976106496,2022-08-25 15:30:14+00:00,"#Thought4dDay
Dis:
#SarTanSeJuda
If its 2 become an SOP &amp;/or #wotever
Shud b applicable 2 all.
Rather than exclusive domain of one.
BTW n #JustAsking;
2 name just 2:
Y r:
@AkbaruddinIndia
n @tasleemrehmani
#SerialOffenders,both-n #PROSPECTS running around wid their #HeadsHigh?",en,0,539,dis if it become an sop amp or shud applicable all rather than exclusive domain of one btw name just running around wid their 
